site,containment,cfm_per_kw,fan_w_per_cfm,cop,electricity_usd_per_kwh,baseline_it_kw,pue,fan_it_pct,cool_it_pct,total_power_kw,annual_cost_usd,annual_co2_t
DEN,0.90,250.0,0.120,3.30,0.25,572.0,1.335,2.460,24.080,763.851,1672833.96,2208.141
DEN,0.90,250.0,0.120,5.50,0.07,572.0,1.246,2.460,15.182,712.954,437183.49,2061.008
DEN,0.90,250.0,0.120,5.50,0.25,572.0,1.246,2.460,15.182,712.954,1561369.60,2061.008
DEN,0.90,250.0,0.250,3.30,0.07,572.0,1.362,5.125,24.080,779.095,477741.01,2252.208
DEN,0.90,250.0,0.250,3.30,0.25,572.0,1.362,5.125,24.080,779.095,1706217.88,2252.208
DEN,0.90,250.0,0.250,5.50,0.07,572.0,1.273,5.125,15.182,728.198,446530.99,2105.075
DEN,0.90,250.0,0.250,5.50,0.25,572.0,1.273,5.125,15.182,728.198,1594753.52,2105.075
DEN,0.90,320.0,0.120,3.30,0.07,572.0,1.342,3.149,24.080,767.791,470809.48,2219.530
DEN,0.90,320.0,0.120,3.30,0.25,572.0,1.342,3.149,24.080,767.791,1681462.42,2219.530
DEN,0.90,320.0,0.120,5.50,0.07,572.0,1.253,3.149,15.182,716.894,439599.46,2072.397
DEN,0.90,320.0,0.120,5.50,0.25,572.0,1.253,3.149,15.182,716.894,1569998.06,2072.397
DEN,0.90,320.0,0.250,3.30,0.07,572.0,1.376,6.560,24.080,787.303,482774.28,2275.936
DEN,0.90,320.0,0.250,3.30,0.25,572.0,1.376,6.560,24.080,787.303,1724193.84,2275.936
DEN,0.90,320.0,0.250,5.50,0.07,572.0,1.287,6.560,15.182,736.406,451564.25,2128.803
DEN,0.90,320.0,0.250,5.50,0.25,572.0,1.287,6.560,15.182,736.406,1612729.48,2128.803
DEN,0.90,450.0,0.120,3.30,0.07,572.0,1.355,4.428,24.080,775.108,475296.28,2240.682
DEN,0.90,450.0,0.120,3.30,0.25,572.0,1.355,4.428,24.080,775.108,1697486.70,2240.682
DEN,0.90,450.0,0.120,5.50,0.07,572.0,1.266,4.428,15.182,724.211,444086.26,2093.549
DEN,0.90,450.0,0.120,5.50,0.25,572.0,1.266,4.428,15.182,724.211,1586022.34,2093.549
DEN,0.90,450.0,0.250,3.30,0.07,572.0,1.403,9.225,24.080,802.547,492121.77,2320.003
DEN,0.90,450.0,0.250,3.30,0.25,572.0,1.403,9.225,24.080,802.547,1757577.76,2320.003
DEN,0.90,450.0,0.250,5.50,0.07,572.0,1.314,9.225,15.182,751.650,460911.75,2172.870
DEN,0.90,450.0,0.250,5.50,0.25,572.0,1.314,9.225,15.182,751.650,1646113.40,2172.870
DEN,0.95,250.0,0.120,3.30,0.07,572.0,1.329,2.460,23.473,760.379,466264.21,2198.103
DEN,0.95,250.0,0.120,3.30,0.25,572.0,1.329,2.460,23.473,760.379,1665229.33,2198.103
DEN,0.95,250.0,0.120,5.50,0.07,572.0,1.243,2.460,14.800,710.765,435841.00,2054.679
DEN,0.95,250.0,0.120,5.50,0.25,572.0,1.243,2.460,14.800,710.765,1556574.99,2054.679
DEN,0.95,250.0,0.250,3.30,0.07,572.0,1.356,5.125,23.473,775.622,475611.71,2242.169
DEN,0.95,250.0,0.250,3.30,0.25,572.0,1.356,5.125,23.473,775.622,1698613.25,2242.169
DEN,0.95,250.0,0.250,5.50,0.07,572.0,1.269,5.125,14.800,726.009,445188.50,2098.746
DEN,0.95,250.0,0.250,5.50,0.25,572.0,1.269,5.125,14.800,726.009,1589958.91,2098.746
DEN,0.95,320.0,0.120,3.30,0.07,572.0,1.336,3.149,23.473,764.319,468680.18,2209.492
DEN,0.95,320.0,0.120,3.30,0.25,572.0,1.336,3.149,23.473,764.319,1673857.79,2209.492
DEN,0.95,320.0,0.120,5.50,0.07,572.0,1.249,3.149,14.800,714.705,438256.97,2066.069
DEN,0.95,320.0,0.120,5.50,0.25,572.0,1.249,3.149,14.800,714.705,1565203.45,2066.069
DEN,0.95,320.0,0.250,3.30,0.07,572.0,1.370,6.560,23.473,783.831,480644.98,2265.898
DEN,0.95,320.0,0.250,3.30,0.25,572.0,1.370,6.560,23.473,783.831,1716589.21,2265.898
DEN,0.95,320.0,0.250,5.50,0.07,572.0,1.284,6.560,14.800,734.217,450221.76,2122.474
DEN,0.95,320.0,0.250,5.50,0.25,572.0,1.284,6.560,14.800,734.217,1607934.87,2122.474
DEN,0.95,450.0,0.120,3.30,0.07,572.0,1.349,4.428,23.473,771.636,473166.98,2230.644
DEN,0.95,450.0,0.120,3.30,0.25,572.0,1.349,4.428,23.473,771.636,1689882.07,2230.644
DEN,0.95,450.0,0.120,5.50,0.07,572.0,1.262,4.428,14.800,722.022,442743.77,2087.221
DEN,0.95,450.0,0.120,5.50,0.25,572.0,1.262,4.428,14.800,722.022,1581227.73,2087.221
DEN,0.95,450.0,0.250,3.30,0.07,572.0,1.397,9.225,23.473,799.074,489992.48,2309.965
DEN,0.95,450.0,0.250,3.30,0.25,572.0,1.397,9.225,23.473,799.074,1749973.13,2309.965
DEN,0.95,450.0,0.250,5.50,0.07,572.0,1.310,9.225,14.800,749.461,459569.26,2166.541
DEN,0.95,450.0,0.250,5.50,0.25,572.0,1.310,9.225,14.800,749.461,1641318.79,2166.541
PHX,0.60,250.0,0.120,3.30,0.07,572.0,1.361,3.450,25.610,778.263,477230.98,2727.034
PHX,0.60,250.0,0.120,3.30,0.25,572.0,1.361,3.450,25.610,778.263,1704396.36,2727.034
PHX,0.60,250.0,0.120,5.50,0.07,572.0,1.258,3.450,15.366,719.668,441300.11,2521.715
PHX,0.60,250.0,0.120,5.50,0.25,572.0,1.258,3.450,15.366,719.668,1576071.84,2521.715
PHX,0.60,250.0,0.250,3.30,0.07,572.0,1.398,7.187,25.610,799.642,490340.28,2801.944
PHX,0.60,250.0,0.250,3.30,0.25,572.0,1.398,7.187,25.610,799.642,1751215.27,2801.944
PHX,0.60,250.0,0.250,5.50,0.07,572.0,1.296,7.187,15.366,741.046,454409.41,2596.625
PHX,0.60,250.0,0.250,5.50,0.25,572.0,1.296,7.187,15.366,741.046,1622890.75,2596.625
PHX,0.60,320.0,0.120,3.30,0.07,572.0,1.370,4.416,25.610,783.789,480619.23,2746.396
PHX,0.60,320.0,0.120,3.30,0.25,572.0,1.370,4.416,25.610,783.789,1716497.25,2746.396
PHX,0.60,320.0,0.120,5.50,0.07,572.0,1.268,4.416,15.366,725.193,444688.36,2541.076
PHX,0.60,320.0,0.120,5.50,0.25,572.0,1.268,4.416,15.366,725.193,1588172.73,2541.076
PHX,0.60,320.0,0.250,3.30,0.07,572.0,1.418,9.200,25.610,811.153,497399.13,2842.281
PHX,0.60,320.0,0.250,3.30,0.25,572.0,1.418,9.200,25.610,811.153,1776425.46,2842.281
PHX,0.60,320.0,0.250,5.50,0.07,572.0,1.316,9.200,15.366,752.558,461468.26,2636.962
PHX,0.60,320.0,0.250,5.50,0.25,572.0,1.316,9.200,15.366,752.558,1648100.94,2636.962
PHX,0.60,450.0,0.120,3.30,0.07,572.0,1.388,6.210,25.610,794.050,486911.69,2782.353
PHX,0.60,450.0,0.120,3.30,0.25,572.0,1.388,6.210,25.610,794.050,1738970.33,2782.353
PHX,0.60,450.0,0.120,5.50,0.07,572.0,1.286,6.210,15.366,735.455,450980.83,2577.033
PHX,0.60,450.0,0.120,5.50,0.25,572.0,1.286,6.210,15.366,735.455,1610645.81,2577.033
PHX,0.60,450.0,0.250,3.30,0.07,572.0,1.455,12.937,25.610,832.532,510508.42,2917.191
PHX,0.60,450.0,0.250,3.30,0.25,572.0,1.455,12.937,25.610,832.532,1823244.37,2917.191
PHX,0.60,450.0,0.250,5.50,0.07,572.0,1.353,12.937,15.366,773.936,474577.56,2711.872
PHX,0.60,450.0,0.250,5.50,0.25,572.0,1.353,12.937,15.366,773.936,1694919.85,2711.872
PHX,0.80,250.0,0.120,3.30,0.07,572.0,1.332,2.850,23.367,762.000,467258.41,2670.048
PHX,0.80,250.0,0.120,3.30,0.25,572.0,1.332,2.850,23.367,762.000,1668780.02,2670.048
PHX,0.80,250.0,0.120,5.50,0.07,572.0,1.239,2.850,14.020,708.537,434474.77,2482.713
PHX,0.80,250.0,0.120,5.50,0.25,572.0,1.239,2.850,14.020,708.537,1551695.60,2482.713
PHX,0.80,250.0,0.250,3.30,0.07,572.0,1.363,5.938,23.367,779.661,478087.82,2731.930
PHX,0.80,250.0,0.250,3.30,0.25,572.0,1.363,5.938,23.367,779.661,1707456.51,2731.930
PHX,0.80,250.0,0.250,5.50,0.07,572.0,1.270,5.938,14.020,726.197,445304.19,2544.595
PHX,0.80,250.0,0.250,5.50,0.25,572.0,1.270,5.938,14.020,726.197,1590372.10,2544.595
PHX,0.80,320.0,0.120,3.30,0.07,572.0,1.340,3.648,23.367,766.565,470057.39,2686.042
