time_s,host_id,host_temp_C,bath_temp_C,flow_rate_m3s,pump_power_W,chiller_power_W,cooling_energy_J,pump_energy_J,chiller_energy_J,total_cooling_energy_J,cop_inst
12.600,0,35.0000,25.0060,0.010000,16.667,50.000,250.000,16.667,50.000,316.667,3.750000
12.710,0,35.0000,25.0060,0.010000,16.667,0.000,0.000,33.333,50.000,333.333,0.000000
