scenario,time_s,host_id,host_temp_C,bath_temp_C,flow_rate_m3s,pump_power_W,chiller_power_W,cooling_energy_J,pump_energy_J,chiller_energy_J,total_cooling_energy_J,cop_inst
H3V3_Series_25C_Tank150kJpK,100.100,0,35.0000,25.0033,0.010000,16.667,100.000,500.000,16.667,100.000,616.667,4.285714
H3V3_Series_25C_Tank150kJpK,100.100,1,35.0000,25.0067,0.010000,16.667,100.000,500.000,33.333,200.000,1233.333,4.285714
H3V3_Series_25C_Tank150kJpK,100.100,2,35.0000,25.0100,0.010000,16.667,100.000,500.000,50.000,300.000,1850.000,4.285714
H3V3_Series_25C_Tank150kJpK,100.210,0,35.0000,25.0100,0.010000,16.667,0.000,0.000,66.667,300.000,1866.667,0.000000
H3V3_Series_25C_Tank150kJpK,100.210,1,35.0000,25.0100,0.010000,16.667,0.000,0.000,83.333,300.000,1883.333,0.000000
H3V3_Series_25C_Tank150kJpK,100.210,2,35.0000,25.0100,0.010000,16.667,0.000,0.000,100.000,300.000,1900.000,0.000000
