scenario,time_s,host_id,host_temp_C,bath_temp_C,flow_rate_m3s,pump_power_W,chiller_power_W,cooling_energy_J,pump_energy_J,chiller_energy_J,total_cooling_energy_J,cop_inst
H2V2_Fluorinert_25C_Flow0.01,75.100,0,35.0000,25.0083,0.010000,16.667,125.000,500.000,16.667,125.000,641.667,3.529412
H2V2_Fluorinert_25C_Flow0.01,75.100,1,35.0000,25.0167,0.010000,16.667,125.000,500.000,33.333,250.000,1283.333,3.529412
H2V2_Fluorinert_25C_Flow0.01,75.210,0,35.0000,25.0167,0.010000,16.667,0.000,0.000,50.000,250.000,1300.000,0.000000
H2V2_Fluorinert_25C_Flow0.01,75.210,1,35.0000,25.0167,0.010000,16.667,0.000,0.000,66.667,250.000,1316.667,0.000000
