scenario,time_s,host_id,host_temp_C,bath_temp_C,flow_rate_m3s,pump_power_W,chiller_power_W,cooling_energy_J,pump_energy_J,chiller_energy_J,total_cooling_energy_J,cop_inst
H4V8_Heavy_30C_Flow0.02,25.600,2,35.0000,30.0000,0.020000,33.333,0.000,0.000,1300.000,0.000,1300.000,0.000000
H4V8_Heavy_30C_Flow0.02,25.600,3,35.0000,30.0000,0.020000,33.333,0.000,0.000,1333.333,0.000,1333.333,0.000000
H4V8_Heavy_30C_Flow0.02,525.600,0,35.0000,30.0025,0.020000,33.333,100.000,500.000,1366.667,100.000,1966.667,3.750000
H4V8_Heavy_30C_Flow0.02,525.600,1,35.0000,30.0050,0.020000,33.333,100.000,500.000,1400.000,200.000,2600.000,3.750000
H4V8_Heavy_30C_Flow0.02,525.600,2,35.0000,30.0075,0.020000,33.333,100.000,500.000,1433.333,300.000,3233.333,3.750000
H4V8_Heavy_30C_Flow0.02,525.600,3,35.0000,30.0100,0.020000,33.333,100.000,500.000,1466.667,400.000,3866.667,3.750000
H4V8_Heavy_30C_Flow0.02,1025.000,0,35.0000,30.0125,0.020000,33.333,100.000,500.000,1500.000,500.000,4500.000,3.750000
H4V8_Heavy_30C_Flow0.02,1025.000,1,35.0000,30.0150,0.020000,33.333,100.000,500.000,1533.333,600.000,5133.333,3.750000
H4V8_Heavy_30C_Flow0.02,1025.000,2,35.0000,30.0175,0.020000,33.333,100.000,500.000,1566.667,700.000,5766.667,3.750000
H4V8_Heavy_30C_Flow0.02,1025.000,3,35.0000,30.0200,0.020000,33.333,100.000,500.000,1600.000,800.000,6400.000,3.750000
H4V8_Heavy_30C_Flow0.02,1025.600,0,35.0000,30.0225,0.020000,33.333,100.000,500.000,1633.333,900.000,7033.333,3.750000
H4V8_Heavy_30C_Flow0.02,1025.600,1,35.0000,30.0250,0.020000,33.333,100.000,500.000,1666.667,1000.000,7666.667,3.750000
H4V8_Heavy_30C_Flow0.02,1025.600,2,35.0000,30.0275,0.020000,33.333,100.000,500.000,1700.000,1100.000,8300.000,3.750000
H4V8_Heavy_30C_Flow0.02,1025.600,3,35.0000,30.0300,0.020000,33.333,100.000,500.000,1733.333,1200.000,8933.333,3.750000
H4V8_Heavy_30C_Flow0.02,1025.710,0,35.0000,30.0325,0.020000,33.333,100.000,500.000,1766.667,1300.000,9566.667,3.750000
H4V8_Heavy_30C_Flow0.02,1025.710,1,35.0000,30.0350,0.020000,33.333,100.000,500.000,1800.000,1400.000,10200.000,3.750000
H4V8_Heavy_30C_Flow0.02,1025.710,2,35.0000,30.0375,0.020000,33.333,100.000,500.000,1833.333,1500.000,10833.333,3.750000
H4V8_Heavy_30C_Flow0.02,1025.710,3,35.0000,30.0400,0.020000,33.333,100.000,500.000,1866.667,1600.000,11466.667,3.750000
H4V8_Heavy_30C_Flow0.02,1025.820,0,35.0000,30.0425,0.020000,33.333,100.000,500.000,1900.000,1700.000,12100.000,3.750000
H4V8_Heavy_30C_Flow0.02,1025.820,1,35.0000,30.0450,0.020000,33.333,100.000,500.000,1933.333,1800.000,12733.333,3.750000
H4V8_Heavy_30C_Flow0.02,1025.820,2,35.0000,30.0475,0.020000,33.333,100.000,500.000,1966.667,1900.000,13366.667,3.750000
H4V8_Heavy_30C_Flow0.02,1025.820,3,35.0000,30.0500,0.020000,33.333,100.000,500.000,2000.000,2000.000,14000.000,3.750000
H4V8_Heavy_30C_Flow0.02,2305844534.104,0,35.0000,30.0525,0.020000,33.333,100.000,500.000,2033.333,2100.000,14633.333,3.750000
H4V8_Heavy_30C_Flow0.02,2305844534.104,1,35.0000,30.0550,0.020000,33.333,100.000,500.000,2066.667,2200.000,15266.667,3.750000
H4V8_Heavy_30C_Flow0.02,2305844534.104,2,35.0000,30.0575,0.020000,33.333,100.000,500.000,2100.000,2300.000,15900.000,3.750000
H4V8_Heavy_30C_Flow0.02,2305844534.104,3,35.0000,30.0600,0.020000,33.333,100.000,500.000,2133.333,2400.000,16533.333,3.750000
H4V8_Heavy_30C_Flow0.02,2305844534.924,0,35.0000,30.0600,0.020000,33.333,0.000,0.000,2166.667,2400.000,16566.667,0.000000
H4V8_Heavy_30C_Flow0.02,2305844534.924,1,35.0000,30.0600,0.020000,33.333,0.000,0.000,2200.000,2400.000,16600.000,0.000000
H4V8_Heavy_30C_Flow0.02,2305844534.924,2,35.0000,30.0600,0.020000,33.333,0.000,0.000,2233.333,2400.000,16633.333,0.000000
H4V8_Heavy_30C_Flow0.02,2305844534.924,3,35.0000,30.0600,0.020000,33.333,0.000,0.000,2266.667,2400.000,16666.667,0.000000
