scenario,time_s,host_id,host_temp_C,bath_temp_C,flow_rate_m3s,pump_power_W,chiller_power_W,cooling_energy_J,pump_energy_J,chiller_energy_J,total_cooling_energy_J,cop_inst
H1V1_Light_25C_Flow0.01,12.600,0,35.0000,25.0100,0.010000,16.667,100.000,500.000,16.667,100.000,616.667,4.285714
H1V1_Light_25C_Flow0.01,12.710,0,35.0000,25.0100,0.010000,16.667,0.000,0.000,33.333,100.000,633.333,0.000000
