scenario,time_s,host_id,host_temp_C,bath_temp_C,flow_rate_m3s,pump_power_W,chiller_power_W,cooling_energy_J,pump_energy_J,chiller_energy_J,total_cooling_energy_J,cop_inst
H2V2_25C_Flow0.005,75.100,0,35.0000,25.0050,0.005000,8.333,100.000,500.000,8.333,100.000,608.333,4.615385
H2V2_25C_Flow0.005,75.100,1,35.0000,25.0100,0.005000,8.333,100.000,500.000,16.667,200.000,1216.667,4.615385
H2V2_25C_Flow0.005,75.210,0,35.0000,25.0100,0.005000,8.333,0.000,0.000,25.000,200.000,1225.000,0.000000
H2V2_25C_Flow0.005,75.210,1,35.0000,25.0100,0.005000,8.333,0.000,0.000,33.333,200.000,1233.333,0.000000
