tech,energy_kWh,cost_usd,co2_kg,water_L
CRAC,1389713.62,138971.36,625371.13,0.00
CRAH,1629279.90,162927.99,733175.96,0.00
AirEconomizer,1264843.25,126484.32,569179.46,0.00
ChilledWater,578261.18,57826.12,260217.53,3066234.38
