hour,it_kW,cooling_kW,ambientC,wetbulbC
1999,350.000,160.031,25.80,23.80
2000,500.000,213.707,25.20,23.20
2001,450.000,193.188,24.24,22.24
2002,300.000,145.861,23.00,21.00
2003,200.000,122.085,21.55,19.55
2004,250.000,133.424,20.00,18.00
2005,350.000,159.660,18.45,16.45
2006,500.000,213.595,17.00,15.00
2007,450.000,193.188,15.76,13.76
2008,300.000,145.861,14.80,12.80
2009,200.000,122.085,14.20,12.20
2010,250.000,133.424,14.00,12.00
2011,350.000,159.660,14.20,12.20
2012,500.000,213.595,14.80,12.80
2013,450.000,193.188,15.76,13.76
2014,300.000,145.861,17.00,15.00
2015,200.000,122.085,18.45,16.45
2016,250.000,133.424,20.00,18.00
2017,350.000,159.660,21.55,19.55
2018,500.000,213.595,23.00,21.00
2019,450.000,193.188,24.24,22.24
2020,300.000,145.946,25.20,23.20
2021,200.000,122.375,25.80,23.80
2022,250.000,133.822,26.00,24.00
2023,350.000,160.031,25.80,23.80
2024,500.000,213.707,25.20,23.20
2025,450.000,193.188,24.24,22.24
2026,300.000,145.861,23.00,21.00
2027,200.000,122.085,21.55,19.55
2028,250.000,133.424,20.00,18.00
2029,350.000,159.660,18.45,16.45
2030,500.000,213.595,17.00,15.00
2031,450.000,193.188,15.76,13.76
2032,300.000,145.861,14.80,12.80
2033,200.000,122.085,14.20,12.20
2034,250.000,133.424,14.00,12.00
2035,350.000,159.660,14.20,12.20
2036,500.000,213.595,14.80,12.80
2037,450.000,193.188,15.76,13.76
2038,300.000,145.861,17.00,15.00
2039,200.000,122.085,18.45,16.45
2040,250.000,133.424,20.00,18.00
2041,350.000,159.660,21.55,19.55
2042,500.000,213.595,23.00,21.00
2043,450.000,193.188,24.24,22.24
2044,300.000,145.946,25.20,23.20
2045,200.000,122.375,25.80,23.80
2046,250.000,133.822,26.00,24.00
2047,350.000,160.031,25.80,23.80
2048,500.000,213.707,25.20,23.20
2049,450.000,193.188,24.24,22.24
2050,300.000,145.861,23.00,21.00
2051,200.000,122.085,21.55,19.55
2052,250.000,133.424,20.00,18.00
2053,350.000,159.660,18.45,16.45
2054,500.000,213.595,17.00,15.00
2055,450.000,193.188,15.76,13.76
2056,300.000,145.861,14.80,12.80
2057,200.000,122.085,14.20,12.20
2058,250.000,133.424,14.00,12.00
2059,350.000,159.660,14.20,12.20
2060,500.000,213.595,14.80,12.80
2061,450.000,193.188,15.76,13.76
2062,300.000,145.861,17.00,15.00
2063,200.000,122.085,18.45,16.45
2064,250.000,133.424,20.00,18.00
2065,350.000,159.660,21.55,19.55
2066,500.000,213.595,23.00,21.00
2067,450.000,193.188,24.24,22.24
2068,300.000,145.946,25.20,23.20
2069,200.000,122.375,25.80,23.80
2070,250.000,133.822,26.00,24.00
2071,350.000,160.031,25.80,23.80
2072,500.000,213.707,25.20,23.20
2073,450.000,193.188,24.24,22.24
2074,300.000,145.861,23.00,21.00
2075,200.000,122.085,21.55,19.55
2076,250.000,133.424,20.00,18.00
2077,350.000,159.660,18.45,16.45
2078,500.000,213.595,17.00,15.00
2079,450.000,193.188,15.76,13.76
2080,300.000,145.861,14.80,12.80
2081,200.000,122.085,14.20,12.20
2082,250.000,133.424,14.00,12.00
2083,350.000,159.660,14.20,12.20
2084,500.000,213.595,14.80,12.80
2085,450.000,193.188,15.76,13.76
2086,300.000,145.861,17.00,15.00
2087,200.000,122.085,18.45,16.45
2088,250.000,133.424,20.00,18.00
2089,350.000,159.660,21.55,19.55
2090,500.000,213.595,23.00,21.00
2091,450.000,193.188,24.24,22.24
2092,300.000,145.946,25.20,23.20
2093,200.000,122.375,25.80,23.80
2094,250.000,133.822,26.00,24.00
2095,350.000,160.031,25.80,23.80
2096,500.000,213.707,25.20,23.20
2097,450.000,193.188,24.24,22.24
2098,300.000,145.861,23.00,21.00
2099,200.000,122.085,21.55,19.55
2100,250.000,133.424,20.00,18.00
2101,350.000,159.660,18.45,16.45
2102,500.000,213.595,17.00,15.00
2103,450.000,193.188,15.76,13.76
2104,300.000,145.861,14.80,12.80
2105,200.000,122.085,14.20,12.20
2106,250.000,133.424,14.00,12.00
2107,350.000,159.660,14.20,12.20
2108,500.000,213.595,14.80,12.80
2109,450.000,193.188,15.76,13.76
2110,300.000,145.861,17.00,15.00
2111,200.000,122.085,18.45,16.45
2112,250.000,133.424,20.00,18.00
2113,350.000,159.660,21.55,19.55
2114,500.000,213.595,23.00,21.00
2115,450.000,193.188,24.24,22.24
2116,300.000,145.946,25.20,23.20
2117,200.000,122.375,25.80,23.80
2118,250.000,133.822,26.00,24.00
2119,350.000,160.031,25.80,23.80
2120,500.000,213.707,25.20,23.20
2121,450.000,193.188,24.24,22.24
2122,300.000,145.861,23.00,21.00
2123,200.000,122.085,21.55,19.55
2124,250.000,133.424,20.00,18.00
2125,350.000,159.660,18.45,16.45
2126,500.000,213.595,17.00,15.00
2127,450.000,193.188,15.76,13.76
2128,300.000,145.861,14.80,12.80
2129,200.000,122.085,14.20,12.20
2130,250.000,133.424,14.00,12.00
2131,350.000,159.660,14.20,12.20
2132,500.000,213.595,14.80,12.80
2133,450.000,193.188,15.76,13.76
2134,300.000,145.861,17.00,15.00
2135,200.000,122.085,18.45,16.45
2136,250.000,133.424,20.00,18.00
2137,350.000,159.660,21.55,19.55
2138,500.000,213.595,23.00,21.00
2139,450.000,193.188,24.24,22.24
2140,300.000,145.946,25.20,23.20
2141,200.000,122.375,25.80,23.80
2142,250.000,133.822,26.00,24.00
2143,350.000,160.031,25.80,23.80
2144,500.000,213.707,25.20,23.20
2145,450.000,193.188,24.24,22.24
2146,300.000,145.861,23.00,21.00
2147,200.000,122.085,21.55,19.55
2148,250.000,133.424,20.00,18.00
2149,350.000,159.660,18.45,16.45
2150,500.000,213.595,17.00,15.00
2151,450.000,193.188,15.76,13.76
2152,300.000,145.861,14.80,12.80
2153,200.000,122.085,14.20,12.20
2154,250.000,133.424,14.00,12.00
2155,350.000,159.660,14.20,12.20
2156,500.000,213.595,14.80,12.80
2157,450.000,193.188,15.76,13.76
2158,300.000,145.861,17.00,15.00
2159,200.000,122.085,18.45,16.45
2160,250.000,133.424,20.00,18.00
2161,350.000,159.660,21.55,19.55
2162,500.000,213.595,23.00,21.00
2163,450.000,193.188,24.24,22.24
2164,300.000,145.946,25.20,23.20
2165,200.000,122.375,25.80,23.80
2166,250.000,133.822,26.00,24.00
2167,350.000,160.031,25.80,23.80
2168,500.000,213.707,25.20,23.20
2169,450.000,193.188,24.24,22.24
2170,300.000,145.861,23.00,21.00
2171,200.000,122.085,21.55,19.55
2172,250.000,133.424,20.00,18.00
2173,350.000,159.660,18.45,16.45
2174,500.000,213.595,17.00,15.00
2175,450.000,193.188,15.76,13.76
2176,300.000,145.861,14.80,12.80
2177,200.000,122.085,14.20,12.20
2178,250.000,133.424,14.00,12.00
2179,350.000,159.660,14.20,12.20
2180,500.000,213.595,14.80,12.80
2181,450.000,193.188,15.76,13.76
2182,300.000,145.861,17.00,15.00
2183,200.000,122.085,18.45,16.45
2184,250.000,133.424,20.00,18.00
2185,350.000,159.660,21.55,19.55
2186,500.000,213.595,23.00,21.00
2187,450.000,193.188,24.24,22.24
2188,300.000,145.946,25.20,23.20
2189,200.000,122.375,25.80,23.80
2190,250.000,133.822,26.00,24.00
2191,350.000,160.031,25.80,23.80
2192,500.000,213.707,25.20,23.20
2193,450.000,193.188,24.24,22.24
2194,300.000,145.861,23.00,21.00
2195,200.000,122.085,21.55,19.55
2196,250.000,133.424,20.00,18.00
2197,350.000,159.660,18.45,16.45
2198,500.000,213.595,17.00,15.00
2199,450.000,193.188,15.76,13.76
2200,300.000,145.861,14.80,12.80
2201,200.000,122.085,14.20,12.20
2202,250.000,133.424,14.00,12.00
2203,350.000,159.660,14.20,12.20
2204,500.000,213.595,14.80,12.80
2205,450.000,193.188,15.76,13.76
2206,300.000,145.861,17.00,15.00
2207,200.000,122.085,18.45,16.45
2208,250.000,133.424,20.00,18.00
2209,350.000,159.660,21.55,19.55
2210,500.000,213.595,23.00,21.00
2211,450.000,193.188,24.24,22.24
2212,300.000,145.946,25.20,23.20
2213,200.000,122.375,25.80,23.80
2214,250.000,133.822,26.00,24.00
2215,350.000,160.031,25.80,23.80
2216,500.000,213.707,25.20,23.20
2217,450.000,193.188,24.24,22.24
2218,300.000,145.861,23.00,21.00
2219,200.000,122.085,21.55,19.55
2220,250.000,133.424,20.00,18.00
2221,350.000,159.660,18.45,16.45
2222,500.000,213.595,17.00,15.00
2223,450.000,193.188,15.76,13.76
2224,300.000,145.861,14.80,12.80
2225,200.000,122.085,14.20,12.20
2226,250.000,133.424,14.00,12.00
2227,350.000,159.660,14.20,12.20
2228,500.000,213.595,14.80,12.80
2229,450.000,193.188,15.76,13.76
2230,300.000,145.861,17.00,15.00
2231,200.000,122.085,18.45,16.45
2232,250.000,133.424,20.00,18.00
2233,350.000,159.660,21.55,19.55
2234,500.000,213.595,23.00,21.00
2235,450.000,193.188,24.24,22.24
2236,300.000,145.946,25.20,23.20
2237,200.000,122.375,25.80,23.80
2238,250.000,133.822,26.00,24.00
2239,350.000,160.031,25.80,23.80
2240,500.000,213.707,25.20,23.20
2241,450.000,193.188,24.24,22.24
2242,300.000,145.861,23.00,21.00
2243,200.000,122.085,21.55,19.55
2244,250.000,133.424,20.00,18.00
2245,350.000,159.660,18.45,16.45
2246,500.000,213.595,17.00,15.00
2247,450.000,193.188,15.76,13.76
2248,300.000,145.861,14.80,12.80
2249,200.000,122.085,14.20,12.20
2250,250.000,133.424,14.00,12.00
2251,350.000,159.660,14.20,12.20
2252,500.000,213.595,14.80,12.80
2253,450.000,193.188,15.76,13.76
2254,300.000,145.861,17.00,15.00
2255,200.000,122.085,18.45,16.45
2256,250.000,133.424,20.00,18.00
2257,350.000,159.660,21.55,19.55
2258,500.000,213.595,23.00,21.00
2259,450.000,193.188,24.24,22.24
2260,300.000,145.946,25.20,23.20
2261,200.000,122.375,25.80,23.80
2262,250.000,133.822,26.00,24.00
2263,350.000,160.031,25.80,23.80
2264,500.000,213.707,25.20,23.20
2265,450.000,193.188,24.24,22.24
2266,300.000,145.861,23.00,21.00
2267,200.000,122.085,21.55,19.55
2268,250.000,133.424,20.00,18.00
2269,350.000,159.660,18.45,16.45
2270,500.000,213.595,17.00,15.00
2271,450.000,193.188,15.76,13.76
2272,300.000,145.861,14.80,12.80
2273,200.000,122.085,14.20,12.20
2274,250.000,133.424,14.00,12.00
2275,350.000,159.660,14.20,12.20
2276,500.000,213.595,14.80,12.80
2277,450.000,193.188,15.76,13.76
2278,300.000,145.861,17.00,15.00
2279,200.000,122.085,18.45,16.45
2280,250.000,133.424,20.00,18.00
2281,350.000,159.660,21.55,19.55
2282,500.000,213.595,23.00,21.00
2283,450.000,193.188,24.24,22.24
2284,300.000,145.946,25.20,23.20
2285,200.000,122.375,25.80,23.80
2286,250.000,133.822,26.00,24.00
2287,350.000,160.031,25.80,23.80
2288,500.000,213.707,25.20,23.20
2289,450.000,193.188,24.24,22.24
2290,300.000,145.861,23.00,21.00
2291,200.000,122.085,21.55,19.55
2292,250.000,133.424,20.00,18.00
2293,350.000,159.660,18.45,16.45
2294,500.000,213.595,17.00,15.00
2295,450.000,193.188,15.76,13.76
2296,300.000,145.861,14.80,12.80
2297,200.000,122.085,14.20,12.20
2298,250.000,133.424,14.00,12.00
2299,350.000,159.660,14.20,12.20
2300,500.000,213.595,14.80,12.80
2301,450.000,193.188,15.76,13.76
2302,300.000,145.861,17.00,15.00
2303,200.000,122.085,18.45,16.45
2304,250.000,133.424,20.00,18.00
2305,350.000,159.660,21.55,19.55
2306,500.000,213.595,23.00,21.00
2307,450.000,193.188,24.24,22.24
2308,300.000,145.946,25.20,23.20
2309,200.000,122.375,25.80,23.80
2310,250.000,133.822,26.00,24.00
2311,350.000,160.031,25.80,23.80
2312,500.000,213.707,25.20,23.20
2313,450.000,193.188,24.24,22.24
2314,300.000,145.861,23.00,21.00
2315,200.000,122.085,21.55,19.55
2316,250.000,133.424,20.00,18.00
2317,350.000,159.660,18.45,16.45
2318,500.000,213.595,17.00,15.00
2319,450.000,193.188,15.76,13.76
2320,300.000,145.861,14.80,12.80
2321,200.000,122.085,14.20,12.20
2322,250.000,133.424,14.00,12.00
2323,350.000,159.660,14.20,12.20
2324,500.000,213.595,14.80,12.80
2325,450.000,193.188,15.76,13.76
2326,300.000,145.861,17.00,15.00
2327,200.000,122.085,18.45,16.45
2328,250.000,133.424,20.00,18.00
2329,350.000,159.660,21.55,19.55
2330,500.000,213.595,23.00,21.00
2331,450.000,193.188,24.24,22.24
2332,300.000,145.946,25.20,23.20
2333,200.000,122.375,25.80,23.80
2334,250.000,133.822,26.00,24.00
2335,350.000,160.031,25.80,23.80
2336,500.000,213.707,25.20,23.20
2337,450.000,193.188,24.24,22.24
2338,300.000,145.861,23.00,21.00
2339,200.000,122.085,21.55,19.55
2340,250.000,133.424,20.00,18.00
2341,350.000,159.660,18.45,16.45
2342,500.000,213.595,17.00,15.00
2343,450.000,193.188,15.76,13.76
2344,300.000,145.861,14.80,12.80
2345,200.000,122.085,14.20,12.20
2346,250.000,133.424,14.00,12.00
2347,350.000,159.660,14.20,12.20
2348,500.000,213.595,14.80,12.80
2349,450.000,193.188,15.76,13.76
2350,300.000,145.861,17.00,15.00
2351,200.000,122.085,18.45,16.45
2352,250.000,133.424,20.00,18.00
2353,350.000,159.660,21.55,19.55
2354,500.000,213.595,23.00,21.00
2355,450.000,193.188,24.24,22.24
2356,300.000,145.946,25.20,23.20
2357,200.000,122.375,25.80,23.80
2358,250.000,133.822,26.00,24.00
2359,350.000,160.031,25.80,23.80
2360,500.000,213.707,25.20,23.20
2361,450.000,193.188,24.24,22.24
2362,300.000,145.861,23.00,21.00
2363,200.000,122.085,21.55,19.55
2364,250.000,133.424,20.00,18.00
2365,350.000,159.660,18.45,16.45
2366,500.000,213.595,17.00,15.00
2367,450.000,193.188,15.76,13.76
2368,300.000,145.861,14.80,12.80
2369,200.000,122.085,14.20,12.20
2370,250.000,133.424,14.00,12.00
2371,350.000,159.660,14.20,12.20
2372,500.000,213.595,14.80,12.80
2373,450.000,193.188,15.76,13.76
2374,300.000,145.861,17.00,15.00
2375,200.000,122.085,18.45,16.45
2376,250.000,133.424,20.00,18.00
2377,350.000,159.660,21.55,19.55
2378,500.000,213.595,23.00,21.00
2379,450.000,193.188,24.24,22.24
2380,300.000,145.946,25.20,23.20
2381,200.000,122.375,25.80,23.80
2382,250.000,133.822,26.00,24.00
2383,350.000,160.031,25.80,23.80
2384,500.000,213.707,25.20,23.20
2385,450.000,193.188,24.24,22.24
2386,300.000,145.861,23.00,21.00
2387,200.000,122.085,21.55,19.55
2388,250.000,133.424,20.00,18.00
2389,350.000,159.660,18.45,16.45
2390,500.000,213.595,17.00,15.00
2391,450.000,193.188,15.76,13.76
2392,300.000,145.861,14.80,12.80
2393,200.000,122.085,14.20,12.20
2394,250.000,133.424,14.00,12.00
2395,350.000,159.660,14.20,12.20
2396,500.000,213.595,14.80,12.80
2397,450.000,193.188,15.76,13.76
2398,300.000,145.861,17.00,15.00
2399,200.000,122.085,18.45,16.45
2400,250.000,133.424,20.00,18.00
2401,350.000,159.660,21.55,19.55
2402,500.000,213.595,23.00,21.00
2403,450.000,193.188,24.24,22.24
2404,300.000,145.946,25.20,23.20
2405,200.000,122.375,25.80,23.80
2406,250.000,133.822,26.00,24.00
2407,350.000,160.031,25.80,23.80
2408,500.000,213.707,25.20,23.20
2409,450.000,193.188,24.24,22.24
2410,300.000,145.861,23.00,21.00
2411,200.000,122.085,21.55,19.55
2412,250.000,133.424,20.00,18.00
2413,350.000,159.660,18.45,16.45
2414,500.000,213.595,17.00,15.00
2415,450.000,193.188,15.76,13.76
2416,300.000,145.861,14.80,12.80
2417,200.000,122.085,14.20,12.20
2418,250.000,133.424,14.00,12.00
2419,350.000,159.660,14.20,12.20
2420,500.000,213.595,14.80,12.80
2421,450.000,193.188,15.76,13.76
2422,300.000,145.861,17.00,15.00
2423,200.000,122.085,18.45,16.45
2424,250.000,133.424,20.00,18.00
2425,350.000,159.660,21.55,19.55
2426,500.000,213.595,23.00,21.00
2427,450.000,193.188,24.24,22.24
2428,300.000,145.946,25.20,23.20
2429,200.000,122.375,25.80,23.80
2430,250.000,133.822,26.00,24.00
2431,350.000,160.031,25.80,23.80
2432,500.000,213.707,25.20,23.20
2433,450.000,193.188,24.24,22.24
2434,300.000,145.861,23.00,21.00
2435,200.000,122.085,21.55,19.55
2436,250.000,133.424,20.00,18.00
2437,350.000,159.660,18.45,16.45
2438,500.000,213.595,17.00,15.00
2439,450.000,193.188,15.76,13.76
2440,300.000,145.861,14.80,12.80
2441,200.000,122.085,14.20,12.20
2442,250.000,133.424,14.00,12.00
2443,350.000,159.660,14.20,12.20
2444,500.000,213.595,14.80,12.80
2445,450.000,193.188,15.76,13.76
2446,300.000,145.861,17.00,15.00
2447,200.000,122.085,18.45,16.45
2448,250.000,133.424,20.00,18.00
2449,350.000,159.660,21.55,19.55
2450,500.000,213.595,23.00,21.00
2451,450.000,193.188,24.24,22.24
2452,300.000,145.946,25.20,23.20
2453,200.000,122.375,25.80,23.80
2454,250.000,133.822,26.00,24.00
2455,350.000,160.031,25.80,23.80
2456,500.000,213.707,25.20,23.20
2457,450.000,193.188,24.24,22.24
2458,300.000,145.861,23.00,21.00
2459,200.000,122.085,21.55,19.55
2460,250.000,133.424,20.00,18.00
2461,350.000,159.660,18.45,16.45
2462,500.000,213.595,17.00,15.00
2463,450.000,193.188,15.76,13.76
2464,300.000,145.861,14.80,12.80
2465,200.000,122.085,14.20,12.20
2466,250.000,133.424,14.00,12.00
2467,350.000,159.660,14.20,12.20
2468,500.000,213.595,14.80,12.80
2469,450.000,193.188,15.76,13.76
2470,300.000,145.861,17.00,15.00
2471,200.000,122.085,18.45,16.45
2472,250.000,133.424,20.00,18.00
2473,350.000,159.660,21.55,19.55
2474,500.000,213.595,23.00,21.00
2475,450.000,193.188,24.24,22.24
2476,300.000,145.946,25.20,23.20
2477,200.000,122.375,25.80,23.80
2478,250.000,133.822,26.00,24.00
2479,350.000,160.031,25.80,23.80
2480,500.000,213.707,25.20,23.20
2481,450.000,193.188,24.24,22.24
2482,300.000,145.861,23.00,21.00
2483,200.000,122.085,21.55,19.55
2484,250.000,133.424,20.00,18.00
2485,350.000,159.660,18.45,16.45
2486,500.000,213.595,17.00,15.00
2487,450.000,193.188,15.76,13.76
2488,300.000,145.861,14.80,12.80
2489,200.000,122.085,14.20,12.20
2490,250.000,133.424,14.00,12.00
2491,350.000,159.660,14.20,12.20
2492,500.000,213.595,14.80,12.80
2493,450.000,193.188,15.76,13.76
2494,300.000,145.861,17.00,15.00
2495,200.000,122.085,18.45,16.45
2496,250.000,133.424,20.00,18.00
2497,350.000,159.660,21.55,19.55
2498,500.000,213.595,23.00,21.00
2499,450.000,193.188,24.24,22.24
2500,300.000,145.946,25.20,23.20
2501,200.000,122.375,25.80,23.80
2502,250.000,133.822,26.00,24.00
2503,350.000,160.031,25.80,23.80
2504,500.000,213.707,25.20,23.20
2505,450.000,193.188,24.24,22.24
2506,300.000,145.861,23.00,21.00
2507,200.000,122.085,21.55,19.55
2508,250.000,133.424,20.00,18.00
2509,350.000,159.660,18.45,16.45
2510,500.000,213.595,17.00,15.00
2511,450.000,193.188,15.76,13.76
2512,300.000,145.861,14.80,12.80
2513,200.000,122.085,14.20,12.20
2514,250.000,133.424,14.00,12.00
2515,350.000,159.660,14.20,12.20
2516,500.000,213.595,14.80,12.80
2517,450.000,193.188,15.76,13.76
2518,300.000,145.861,17.00,15.00
2519,200.000,122.085,18.45,16.45
2520,250.000,133.424,20.00,18.00
2521,350.000,159.660,21.55,19.55
2522,500.000,213.595,23.00,21.00
2523,450.000,193.188,24.24,22.24
2524,300.000,145.946,25.20,23.20
2525,200.000,122.375,25.80,23.80
2526,250.000,133.822,26.00,24.00
2527,350.000,160.031,25.80,23.80
2528,500.000,213.707,25.20,23.20
2529,450.000,193.188,24.24,22.24
2530,300.000,145.861,23.00,21.00
2531,200.000,122.085,21.55,19.55
2532,250.000,133.424,20.00,18.00
2533,350.000,159.660,18.45,16.45
2534,500.000,213.595,17.00,15.00
2535,450.000,193.188,15.76,13.76
2536,300.000,145.861,14.80,12.80
2537,200.000,122.085,14.20,12.20
2538,250.000,133.424,14.00,12.00
2539,350.000,159.660,14.20,12.20
2540,500.000,213.595,14.80,12.80
2541,450.000,193.188,15.76,13.76
2542,300.000,145.861,17.00,15.00
2543,200.000,122.085,18.45,16.45
2544,250.000,133.424,20.00,18.00
2545,350.000,159.660,21.55,19.55
2546,500.000,213.595,23.00,21.00
2547,450.000,193.188,24.24,22.24
2548,300.000,145.946,25.20,23.20
2549,200.000,122.375,25.80,23.80
2550,250.000,133.822,26.00,24.00
2551,350.000,160.031,25.80,23.80
2552,500.000,213.707,25.20,23.20
2553,450.000,193.188,24.24,22.24
2554,300.000,145.861,23.00,21.00
2555,200.000,122.085,21.55,19.55
2556,250.000,133.424,20.00,18.00
2557,350.000,159.660,18.45,16.45
2558,500.000,213.595,17.00,15.00
2559,450.000,193.188,15.76,13.76
2560,300.000,145.861,14.80,12.80
2561,200.000,122.085,14.20,12.20
2562,250.000,133.424,14.00,12.00
2563,350.000,159.660,14.20,12.20
2564,500.000,213.595,14.80,12.80
2565,450.000,193.188,15.76,13.76
2566,300.000,145.861,17.00,15.00
2567,200.000,122.085,18.45,16.45
2568,250.000,133.424,20.00,18.00
2569,350.000,159.660,21.55,19.55
2570,500.000,213.595,23.00,21.00
2571,450.000,193.188,24.24,22.24
2572,300.000,145.946,25.20,23.20
2573,200.000,122.375,25.80,23.80
2574,250.000,133.822,26.00,24.00
2575,350.000,160.031,25.80,23.80
2576,500.000,213.707,25.20,23.20
2577,450.000,193.188,24.24,22.24
2578,300.000,145.861,23.00,21.00
2579,200.000,122.085,21.55,19.55
2580,250.000,133.424,20.00,18.00
2581,350.000,159.660,18.45,16.45
2582,500.000,213.595,17.00,15.00
2583,450.000,193.188,15.76,13.76
2584,300.000,145.861,14.80,12.80
2585,200.000,122.085,14.20,12.20
2586,250.000,133.424,14.00,12.00
2587,350.000,159.660,14.20,12.20
2588,500.000,213.595,14.80,12.80
2589,450.000,193.188,15.76,13.76
2590,300.000,145.861,17.00,15.00
2591,200.000,122.085,18.45,16.45
2592,250.000,133.424,20.00,18.00
2593,350.000,159.660,21.55,19.55
2594,500.000,213.595,23.00,21.00
2595,450.000,193.188,24.24,22.24
2596,300.000,145.946,25.20,23.20
2597,200.000,122.375,25.80,23.80
2598,250.000,133.822,26.00,24.00
2599,350.000,160.031,25.80,23.80
2600,500.000,213.707,25.20,23.20
2601,450.000,193.188,24.24,22.24
2602,300.000,145.861,23.00,21.00
2603,200.000,122.085,21.55,19.55
2604,250.000,133.424,20.00,18.00
2605,350.000,159.660,18.45,16.45
2606,500.000,213.595,17.00,15.00
2607,450.000,193.188,15.76,13.76
2608,300.000,145.861,14.80,12.80
2609,200.000,122.085,14.20,12.20
2610,250.000,133.424,14.00,12.00
2611,350.000,159.660,14.20,12.20
2612,500.000,213.595,14.80,12.80
2613,450.000,193.188,15.76,13.76
2614,300.000,145.861,17.00,15.00
2615,200.000,122.085,18.45,16.45
2616,250.000,133.424,20.00,18.00
2617,350.000,159.660,21.55,19.55
2618,500.000,213.595,23.00,21.00
2619,450.000,193.188,24.24,22.24
2620,300.000,145.946,25.20,23.20
2621,200.000,122.375,25.80,23.80
2622,250.000,133.822,26.00,24.00
2623,350.000,160.031,25.80,23.80
2624,500.000,213.707,25.20,23.20
2625,450.000,193.188,24.24,22.24
2626,300.000,145.861,23.00,21.00
2627,200.000,122.085,21.55,19.55
2628,250.000,133.424,20.00,18.00
2629,350.000,159.660,18.45,16.45
2630,500.000,213.595,17.00,15.00
2631,450.000,193.188,15.76,13.76
2632,300.000,145.861,14.80,12.80
2633,200.000,122.085,14.20,12.20
2634,250.000,133.424,14.00,12.00
2635,350.000,159.660,14.20,12.20
2636,500.000,213.595,14.80,12.80
2637,450.000,193.188,15.76,13.76
2638,300.000,145.861,17.00,15.00
2639,200.000,122.085,18.45,16.45
2640,250.000,133.424,20.00,18.00
2641,350.000,159.660,21.55,19.55
2642,500.000,213.595,23.00,21.00
2643,450.000,193.188,24.24,22.24
2644,300.000,145.946,25.20,23.20
2645,200.000,122.375,25.80,23.80
2646,250.000,133.822,26.00,24.00
2647,350.000,160.031,25.80,23.80
2648,500.000,213.707,25.20,23.20
2649,450.000,193.188,24.24,22.24
2650,300.000,145.861,23.00,21.00
2651,200.000,122.085,21.55,19.55
2652,250.000,133.424,20.00,18.00
2653,350.000,159.660,18.45,16.45
2654,500.000,213.595,17.00,15.00
2655,450.000,193.188,15.76,13.76
2656,300.000,145.861,14.80,12.80
2657,200.000,122.085,14.20,12.20
2658,250.000,133.424,14.00,12.00
2659,350.000,159.660,14.20,12.20
2660,500.000,213.595,14.80,12.80
2661,450.000,193.188,15.76,13.76
2662,300.000,145.861,17.00,15.00
2663,200.000,122.085,18.45,16.45
2664,250.000,133.424,20.00,18.00
2665,350.000,159.660,21.55,19.55
2666,500.000,213.595,23.00,21.00
2667,450.000,193.188,24.24,22.24
2668,300.000,145.946,25.20,23.20
2669,200.000,122.375,25.80,23.80
2670,250.000,133.822,26.00,24.00
2671,350.000,160.031,25.80,23.80
2672,500.000,213.707,25.20,23.20
2673,450.000,193.188,24.24,22.24
2674,300.000,145.861,23.00,21.00
2675,200.000,122.085,21.55,19.55
2676,250.000,133.424,20.00,18.00
2677,350.000,159.660,18.45,16.45
2678,500.000,213.595,17.00,15.00
2679,450.000,193.188,15.76,13.76
2680,300.000,145.861,14.80,12.80
2681,200.000,122.085,14.20,12.20
2682,250.000,133.424,14.00,12.00
2683,350.000,159.660,14.20,12.20
2684,500.000,213.595,14.80,12.80
2685,450.000,193.188,15.76,13.76
2686,300.000,145.861,17.00,15.00
2687,200.000,122.085,18.45,16.45
2688,250.000,133.424,20.00,18.00
2689,350.000,159.660,21.55,19.55
2690,500.000,213.595,23.00,21.00
2691,450.000,193.188,24.24,22.24
2692,300.000,145.946,25.20,23.20
2693,200.000,122.375,25.80,23.80
2694,250.000,133.822,26.00,24.00
2695,350.000,160.031,25.80,23.80
2696,500.000,213.707,25.20,23.20
2697,450.000,193.188,24.24,22.24
2698,300.000,145.861,23.00,21.00
2699,200.000,122.085,21.55,19.55
2700,250.000,133.424,20.00,18.00
2701,350.000,159.660,18.45,16.45
2702,500.000,213.595,17.00,15.00
2703,450.000,193.188,15.76,13.76
2704,300.000,145.861,14.80,12.80
2705,200.000,122.085,14.20,12.20
2706,250.000,133.424,14.00,12.00
2707,350.000,159.660,14.20,12.20
2708,500.000,213.595,14.80,12.80
2709,450.000,193.188,15.76,13.76
2710,300.000,145.861,17.00,15.00
2711,200.000,122.085,18.45,16.45
2712,250.000,133.424,20.00,18.00
2713,350.000,159.660,21.55,19.55
2714,500.000,213.595,23.00,21.00
2715,450.000,193.188,24.24,22.24
2716,300.000,145.946,25.20,23.20
2717,200.000,122.375,25.80,23.80
2718,250.000,133.822,26.00,24.00
2719,350.000,160.031,25.80,23.80
2720,500.000,213.707,25.20,23.20
2721,450.000,193.188,24.24,22.24
2722,300.000,145.861,23.00,21.00
2723,200.000,122.085,21.55,19.55
2724,250.000,133.424,20.00,18.00
2725,350.000,159.660,18.45,16.45
2726,500.000,213.595,17.00,15.00
2727,450.000,193.188,15.76,13.76
2728,300.000,145.861,14.80,12.80
2729,200.000,122.085,14.20,12.20
2730,250.000,133.424,14.00,12.00
2731,350.000,159.660,14.20,12.20
2732,500.000,213.595,14.80,12.80
2733,450.000,193.188,15.76,13.76
